Team,Tier,Win Rate,Pick Rate,Matches,Rank,Season
"Hela, Loki, Thor",B,55.82%,3.23%,421,Platinum,1
"Mister Fantastic, Invisible Woman",A,55.34%,10.86%,"1,415",Platinum,1
"Winter Soldier, Rocket Raccoon, The Punisher",A,54.67%,16.70%,"2,175",Platinum,1
"Iron Fist, Luna Snow",B,52.52%,7.16%,933,Platinum,1
"Squirrel Girl, Spider Man",B,52.14%,4.67%,608,Platinum,1
"Groot, Jeff The Land Shark, Rocket Raccoon",C,50.00%,1.98%,258,Platinum,1
"Magneto, Scarlet Witch",B,49.33%,20.63%,"2,688",Platinum,1
"Luna Snow, Jeff The Land Shark, Namor",C,49.28%,2.68%,349,Platinum,1
"Wolverine, Hulk",C,49.04%,6.76%,881,Platinum,1
"Cloak & Dagger, Moon Knight",S,46.42%,102.65%,"13,372",Platinum,1
"Black Widow, Hawkeye",D,38.30%,0.36%,47,Platinum,1
"Adam Warlock, Star Lord, Mantis",S,66.90%,2.24%,284,Diamond,1
"Psylocke, Magik, Black Panther",A,60.67%,0.70%,89,Diamond,1
"Venom, Peni Parker, Spider Man",A,60.45%,1.06%,134,Diamond,1
"Hela, Loki, Thor",A,59.27%,3.88%,491,Diamond,1
"Doctor Strange, Hulk, Iron Man",A,58.33%,11.43%,"1,447",Diamond,1
"Captain America, Thor, Storm",A,57.06%,1.40%,177,Diamond,1
"Wolverine, Hulk",A,56.78%,2.80%,354,Diamond,1
"Winter Soldier, Rocket Raccoon, The Punisher",A,55.39%,22.77%,"2,883",Diamond,1
"Iron Fist, Luna Snow",B,51.31%,6.94%,879,Diamond,1
"Mister Fantastic, Invisible Woman",B,49.73%,13.40%,"1,697",Diamond,1
"Magneto, Scarlet Witch",B,49.50%,16.67%,"2,111",Diamond,1
"Groot, Jeff The Land Shark, Rocket Raccoon",D,49.38%,1.26%,160,Diamond,1
"Luna Snow, Jeff The Land Shark, Namor",D,48.65%,2.63%,333,Diamond,1
"Squirrel Girl, Spider Man",D,47.00%,3.95%,500,Diamond,1
"Cloak & Dagger, Moon Knight",S,46.16%,76.82%,"9,726",Diamond,1
"Black Widow, Hawkeye",D,41.51%,0.42%,53,Diamond,1
"Adam Warlock, Star Lord, Mantis",S,67.36%,4.16%,242,Grandmaster,1
"Hela, Loki, Thor",S,63.48%,4.85%,282,Grandmaster,1
"Groot, Jeff The Land Shark, Rocket Raccoon",A,63.16%,0.65%,38,Grandmaster,1
"Doctor Strange, Hulk, Iron Man",A,60.70%,10.29%,598,Grandmaster,1
"Captain America, Thor, Storm",A,59.26%,0.93%,54,Grandmaster,1
"Iron Fist, Luna Snow",A,55.54%,9.48%,551,Grandmaster,1
"Psylocke, Magik, Black Panther",B,54.55%,0.76%,44,Grandmaster,1
"Wolverine, Hulk",B,54.12%,1.46%,85,Grandmaster,1
"Luna Snow, Jeff The Land Shark, Namor",B,51.96%,3.51%,204,Grandmaster,1
"Winter Soldier, Rocket Raccoon, The Punisher",A,50.97%,18.60%,"1,081",Grandmaster,1
"Mister Fantastic, Invisible Woman",B,50.58%,11.94%,694,Grandmaster,1
"Magneto, Scarlet Witch",B,48.83%,11.77%,684,Grandmaster,1
"Venom, Peni Parker, Spider Man",D,47.62%,0.36%,21,Grandmaster,1
"Squirrel Girl, Spider Man",D,45.83%,2.07%,120,Grandmaster,1
"Cloak & Dagger, Moon Knight",A,44.21%,51.70%,"3,004",Grandmaster,1
"Black Widow, Hawkeye",D,35.71%,0.72%,42,Grandmaster,1
"Adam Warlock, Star Lord, Mantis",S,80.49%,4.67%,41,Eternity,1
"Black Widow, Hawkeye",S,66.67%,0.34%,3,Eternity,1
"Hela, Loki, Thor",A,57.14%,6.38%,56,Eternity,1
"Wolverine, Hulk",B,55.00%,4.56%,40,Eternity,1
"Iron Fist, Luna Snow",B,54.24%,6.72%,59,Eternity,1
"Luna Snow, Jeff The Land Shark, Namor",B,53.33%,5.13%,45,Eternity,1
"Mister Fantastic, Invisible Woman",B,53.23%,7.06%,62,Eternity,1
"Doctor Strange, Hulk, Iron Man",B,53.09%,9.23%,81,Eternity,1
"Winter Soldier, Rocket Raccoon, The Punisher",B,50.72%,7.86%,69,Eternity,1
"Groot, Jeff The Land Shark, Rocket Raccoon",C,50.00%,0.46%,4,Eternity,1
"Squirrel Girl, Spider Man",C,50.00%,0.46%,4,Eternity,1
"Magneto, Scarlet Witch",D,42.70%,10.14%,89,Eternity,1
"Cloak & Dagger, Moon Knight",B,39.42%,35.55%,312,Eternity,1
"Captain America, Thor, Storm",D,33.33%,0.34%,3,Eternity,1
"Psylocke, Magik, Black Panther",D,0.00%,0.23%,2,Eternity,1
"Venom, Peni Parker, Spider Man",D,0.00%,0.11%,1,Eternity,1
